Season,Competition,GameWeek,Kick Off Time,Home Team Name,Home Team Abbr,Home Team ID,Away Team Name,Away Team Abbr,Away Team Id,Home Score,Away Score,HT Home Score,HT Away Team,Outcome,Stadium,Location,Stadium Id,Attendance,Referee,Referee Id
2001/02,Premier League,1,"Sat 18 Aug 2001, 15:00 BST",Leeds United,LEE,9,Southampton,SOU,20,2,0,0,0,H,Elland Road,Leeds,205,39715,Clive Wilkes,4016
2001/02,Premier League,3,"Sat 8 Sep 2001, 15:00 BST",Leeds United,LEE,9,Bolton Wanderers,BOL,27,0,0,0,0,D,Elland Road,Leeds,205,40153,Steve Bennett,3779
2001/02,Premier League,5,"Sun 23 Sep 2001, 14:00 BST",Leeds United,LEE,9,Derby County,DER,28,3,0,1,0,H,Elland Road,Leeds,205,39155,Alan Wiley,4026
2001/02,Premier League,8,"Sun 21 Oct 2001, 16:00 BST",Leeds United,LEE,9,Chelsea,CHE,4,0,0,0,0,D,Elland Road,Leeds,205,40171,Paul Durkin,3720
2001/02,Premier League,11,"Sun 4 Nov 2001, 12:00 GMT",Leeds United,LEE,9,Tottenham Hotspur,TOT,21,2,1,0,0,H,Elland Road,Leeds,205,40203,Steve Bennett,4003
2001/02,Premier League,13,"Sun 25 Nov 2001, 15:00 GMT",Leeds United,LEE,9,Aston Villa,AVL,2,1,1,1,1,D,Elland Road,Leeds,205,40159,Neale Barry,3834
2001/02,Premier League,16,"Sun 16 Dec 2001, 14:00 GMT",Leeds United,LEE,9,Leicester City,LEI,26,2,2,1,0,D,Elland Road,Leeds,205,38337,Rob Styles,4001
2001/02,Premier League,16,"Wed 19 Dec 2001, 19:45 GMT",Leeds United,LEE,9,Everton,EVE,7,3,2,2,0,H,Elland Road,Leeds,205,40201,Peter Jones,3937
2001/02,Premier League,17,"Sat 22 Dec 2001, 15:00 GMT",Leeds United,LEE,9,Newcastle United,NEW,23,3,4,1,1,A,Elland Road,Leeds,205,40287,Jeff Winter,4000
2001/02,Premier League,20,"Tue 1 Jan 2002, 20:00 GMT",Leeds United,LEE,9,West Ham United,WHU,25,3,0,2,0,H,Elland Road,Leeds,205,39320,Steve Dunn,3998
2001/02,Premier League,22,"Sun 20 Jan 2002, 16:00 GMT",Leeds United,LEE,9,Arsenal,ARS,1,1,1,1,1,D,Elland Road,Leeds,205,40143,Mark Halsey,3790
2001/02,Premier League,24,"Sun 3 Feb 2002, 12:00 GMT",Leeds United,LEE,9,Liverpool,LIV,10,0,4,0,1,A,Elland Road,Leeds,205,40216,Graham Poll,4006
2001/02,Premier League,26,"Sun 24 Feb 2002, 15:00 GMT",Leeds United,LEE,9,Charlton Athletic,CHA,31,0,0,0,0,D,Elland Road,Leeds,205,39374,Mike Dean,3704
2001/02,Premier League,28,"Wed 6 Mar 2002, 19:45 GMT",Leeds United,LEE,9,Ipswich Town,IPS,8,2,0,0,0,H,Elland Road,Leeds,205,39414,Dermot Gallagher,4012
2001/02,Premier League,29,"Sun 17 Mar 2002, 14:00 GMT",Leeds United,LEE,9,Blackburn Rovers,BLB,3,3,1,2,0,H,Elland Road,Leeds,205,39857,Graham Poll,3760
2001/02,Premier League,31,"Sat 30 Mar 2002, 12:00 GMT",Leeds United,LEE,9,Manchester United,MUN,12,3,4,1,3,A,Elland Road,Leeds,205,40058,David Elleray,3924
2001/02,Premier League,33,"Sun 7 Apr 2002, 16:00 BST",Leeds United,LEE,9,Sunderland,SUN,29,2,0,1,0,H,Elland Road,Leeds,205,39195,Peter Jones,3922
2001/02,Premier League,35,"Sat 20 Apr 2002, 15:00 BST",Leeds United,LEE,9,Fulham,FUL,34,0,1,0,0,A,Elland Road,Leeds,205,39811,Rob Styles,3996
2001/02,Premier League,38,"Sat 11 May 2002, 15:00 BST",Leeds United,LEE,9,Middlesbrough,MID,13,1,0,0,0,H,Elland Road,Leeds,205,40218,Uriah Rennie,3921
2002/03,Premier League,1,"Sat 17 Aug 2002, 15:00 BST",Leeds United,LEE,9,Manchester City,MCI,11,3,0,2,0,H,Elland Road,Leeds,205,40195,Graham Poll,4126
2002/03,Premier League,3,"Wed 28 Aug 2002, 19:45 BST",Leeds United,LEE,9,Sunderland,SUN,29,0,1,0,0,A,Elland Road,Leeds,205,39929,Mark Halsey,4124
2002/03,Premier League,6,"Sat 14 Sep 2002, 12:00 BST",Leeds United,LEE,9,Manchester United,MUN,12,1,0,0,0,H,Elland Road,Leeds,205,39622,Jeff Winter,4122
2002/03,Premier League,8,"Sat 28 Sep 2002, 12:00 BST",Leeds United,LEE,9,Arsenal,ARS,1,1,4,0,2,A,Elland Road,Leeds,205,40199,Alan Wiley,4408
2002/03,Premier League,10,"Sat 19 Oct 2002, 12:00 BST",Leeds United,LEE,9,Liverpool,LIV,10,0,1,0,0,A,Elland Road,Leeds,205,40187,Steve Dunn,4121
2002/03,Premier League,12,"Sun 3 Nov 2002, 15:00 GMT",Leeds United,LEE,9,Everton,EVE,7,0,1,0,0,A,Elland Road,Leeds,205,40161,Neale Barry,4289
