Season,Competition,GameWeek,Kick Off Time,Home Team Name,Home Team Abbr,Home Team ID,Away Team Name,Away Team Abbr,Away Team Id,Home Score,Away Score,HT Home Score,HT Away Team,Outcome,Stadium,Location,Stadium Id,Attendance,Referee,Referee Id
2013/14,Premier League,2,"Sun 25 Aug 2013, 16:00 BST",Cardiff,CAR,46,Manchester City,MCI,11,3,2,0,0,H,Cardiff City Stadium,Cardiff,41,27068,Lee Probert,8627
2013/14,Premier League,12,"Sun 24 Nov 2013, 16:00 GMT",Cardiff,CAR,46,Manchester United,MUN,12,2,2,1,2,D,Cardiff City Stadium,Cardiff,41,28016,Neil Swarbrick,8423
2013/14,Premier League,16,"Sat 14 Dec 2013, 15:00 GMT",Cardiff,CAR,46,West Bromwich Albion,WBA,36,1,0,0,0,H,Cardiff City Stadium,Cardiff,41,26632,Howard Webb,8287
2013/14,Premier League,19,"Sat 28 Dec 2013, 17:30 GMT",Cardiff,CAR,46,Sunderland,SUN,29,2,2,1,0,D,Cardiff City Stadium,Cardiff,41,27247,Chris Foy,8475
2013/14,Premier League,26,"Tue 11 Feb 2014, 19:45 GMT",Cardiff,CAR,46,Aston Villa,AVL,2,0,0,0,0,D,Cardiff City Stadium,Cardiff,41,27597,Chris Foy,9172
2013/14,Premier League,29,"Sat 8 Mar 2014, 15:00 GMT",Cardiff,CAR,46,Fulham,FUL,34,3,1,1,0,H,Cardiff City Stadium,Cardiff,41,26796,Martin Atkinson,9080
2013/14,Premier League,31,"Sat 22 Mar 2014, 15:00 GMT",Cardiff,CAR,46,Liverpool,LIV,10,3,6,2,2,A,Cardiff City Stadium,Cardiff,41,28018,Neil Swarbrick,9428
2013/14,Premier League,34,"Sat 5 Apr 2014, 15:00 BST",Cardiff,CAR,46,Crystal Palace,CRY,6,0,3,0,1,A,Cardiff City Stadium,Cardiff,41,27687,Phil Dowd,9608
2013/14,Premier League,37,"Sat 19 Apr 2014, 15:00 BST",Cardiff,CAR,46,Stoke City,STK,42,1,1,0,1,D,Cardiff City Stadium,Cardiff,41,27686,Howard Webb,9560
2013/14,Premier League,3,"Sat 31 Aug 2013, 15:00 BST",Cardiff City,CAR,46,Everton,EVE,7,0,0,0,0,D,Cardiff City Stadium,Cardiff,41,27344,Anthony Taylor,8711
2013/14,Premier League,5,"Sun 22 Sep 2013, 16:00 BST",Cardiff City,CAR,46,Tottenham Hotspur,TOT,21,0,1,0,0,A,Cardiff City Stadium,Cardiff,41,27815,Mark Clattenburg,9024
2013/14,Premier League,7,"Sat 5 Oct 2013, 15:00 BST",Cardiff City,CAR,46,Newcastle United,NEW,23,1,2,0,2,A,Cardiff City Stadium,Cardiff,41,27538,Kevin Friend,8895
2013/14,Premier League,10,"Sun 3 Nov 2013, 16:00 GMT",Cardiff City,CAR,46,Swansea City,SWA,45,1,0,0,0,H,Cardiff City Stadium,Cardiff,41,27463,Mike Dean,8855
2013/14,Premier League,13,"Sat 30 Nov 2013, 15:00 GMT",Cardiff City,CAR,46,Arsenal,ARS,1,0,3,0,1,A,Cardiff City Stadium,Cardiff,41,27948,Lee Mason,8339
2013/14,Premier League,18,"Thu 26 Dec 2013, 15:00 GMT",Cardiff City,CAR,46,Southampton,SOU,20,0,3,0,3,A,Cardiff City Stadium,Cardiff,41,27929,Andre Marriner,8599
2013/14,Premier League,21,"Sat 11 Jan 2014, 15:00 GMT",Cardiff City,CAR,46,West Ham United,WHU,25,0,2,0,1,A,Cardiff City Stadium,Cardiff,41,27750,Lee Mason,9268
2013/14,Premier League,24,"Sat 1 Feb 2014, 15:00 GMT",Cardiff City,CAR,46,Norwich City,NOR,14,2,1,0,1,H,Cardiff City Stadium,Cardiff,41,26748,Mark Clattenburg,9260
2013/14,Premier League,27,"Sat 22 Feb 2014, 15:00 GMT",Cardiff City,CAR,46,Hull City,HUL,41,0,4,0,2,A,Cardiff City Stadium,Cardiff,41,26167,Howard Webb,9168
2013/14,Premier League,40,"Sun 11 May 2014, 15:00 BST",Cardiff City,CAR,46,Chelsea,CHE,4,1,2,1,0,A,Cardiff City Stadium,Cardiff,41,27716,Michael Oliver,9692
