Season,Competition,GameWeek,Kick Off Time,Home Team Name,Home Team Abbr,Home Team ID,Away Team Name,Away Team Abbr,Away Team Id,Home Score,Away Score,HT Home Score,HT Away Team,Outcome,Stadium,Location,Stadium Id,Attendance,Referee,Referee Id
2006/07,Premier League,2,"Tue 22 Aug 2006, 19:45 BST",Watford,WAT,33,West Ham United,WHU,25,1,1,0,0,D,Vicarage Road,Watford,136,18344,Martin Atkinson,5789
2006/07,Premier League,3,"Sat 26 Aug 2006, 15:00 BST",Watford,WAT,33,Manchester United,MUN,12,1,2,1,1,A,Vicarage Road,Watford,136,19453,Phil Dowd,5796
2006/07,Premier League,5,"Sat 16 Sep 2006, 17:15 BST",Watford,WAT,33,Aston Villa,AVL,2,0,0,0,0,D,Vicarage Road,Watford,136,18620,Mike Dean,5754
2006/07,Premier League,7,"Mon 2 Oct 2006, 20:00 BST",Watford,WAT,33,Fulham,FUL,34,3,3,1,0,D,Vicarage Road,Watford,136,17982,Mike Riley,5720
2006/07,Premier League,10,"Sat 28 Oct 2006, 15:00 BST",Watford,WAT,33,Tottenham Hotspur,TOT,21,0,0,0,0,D,Vicarage Road,Watford,136,19660,Uriah Rennie,5727
2006/07,Premier League,11,"Sat 4 Nov 2006, 15:00 GMT",Watford,WAT,33,Middlesbrough,MID,13,2,0,1,0,H,Vicarage Road,Watford,136,18951,Dermot Gallagher,5710
2006/07,Premier League,15,"Tue 28 Nov 2006, 20:00 GMT",Watford,WAT,33,Sheff Utd,SHU,18,0,1,0,0,A,Vicarage Road,Watford,136,18887,Martin Atkinson,5615
2006/07,Premier League,17,"Sat 9 Dec 2006, 15:00 GMT",Watford,WAT,33,Reading,RDG,40,0,0,0,0,D,Vicarage Road,Watford,136,19223,Chris Foy,5622
2006/07,Premier League,20,"Tue 26 Dec 2006, 17:30 GMT",Watford,WAT,33,Arsenal,ARS,1,1,2,1,1,A,Vicarage Road,Watford,136,19750,Mike Dean,5809
2006/07,Premier League,23,"Sat 13 Jan 2007, 12:45 GMT",Watford,WAT,33,Liverpool,LIV,10,0,3,0,2,A,Vicarage Road,Watford,136,19740,Mark Clattenburg,5839
2006/07,Premier League,24,"Tue 23 Jan 2007, 19:45 GMT",Watford,WAT,33,Blackburn Rovers,BLB,3,2,1,1,1,H,Vicarage Road,Watford,136,16455,Dermot Gallagher,5616
