Season,Competition,GameWeek,Kick Off Time,Home Team Name,Home Team Abbr,Home Team ID,Away Team Name,Away Team Abbr,Away Team Id,Home Score,Away Score,HT Home Score,HT Away Team,Outcome,Stadium,Location,Stadium Id,Attendance,Referee,Referee Id
2014/15,Premier League,1,"Sat 16 Aug 2014, 15:00 BST",Queens Park Rangers,QPR,17,Hull City,HUL,41,0,1,0,0,A,Loftus Road,London,46,17603,Craig Pawson,11232
2014/15,Premier League,3,"Sat 30 Aug 2014, 15:00 BST",Queens Park Rangers,QPR,17,Sunderland,SUN,29,1,0,1,0,H,Loftus Road,London,46,17930,Robert Madley,10160
2014/15,Premier League,5,"Sat 20 Sep 2014, 12:45 BST",Queens Park Rangers,QPR,17,Stoke City,STK,42,2,2,1,1,D,Loftus Road,London,46,16163,Martin Atkinson,10204
2014/15,Premier League,8,"Sun 19 Oct 2014, 13:30 BST",Queens Park Rangers,QPR,17,Liverpool,LIV,10,2,3,0,0,A,Loftus Road,London,46,18069,Phil Dowd,10536
2014/15,Premier League,9,"Mon 27 Oct 2014, 20:00 GMT",Queens Park Rangers,QPR,17,Aston Villa,AVL,2,2,0,1,0,H,Loftus Road,London,46,18022,Lee Mason,10472
2014/15,Premier League,11,"Sat 8 Nov 2014, 17:30 GMT",Queens Park Rangers,QPR,17,Manchester City,MCI,11,2,2,1,1,D,Loftus Road,London,46,18005,Mike Dean,10280
2014/15,Premier League,13,"Sat 29 Nov 2014, 15:00 GMT",Queens Park Rangers,QPR,17,Leicester City,LEI,26,3,2,2,1,H,Loftus Road,London,46,18054,Roger East,9932
2014/15,Premier League,15,"Sat 6 Dec 2014, 15:00 GMT",Queens Park Rangers,QPR,17,Burnley,BUR,43,2,0,0,0,H,Loftus Road,London,46,17785,Jonathan Moss,9764
2014/15,Premier League,17,"Sat 20 Dec 2014, 15:00 GMT",Queens Park Rangers,QPR,17,West Bromwich Albion,WBA,36,3,2,1,2,H,Loftus Road,London,46,17560,Craig Pawson,9852
2014/15,Premier League,19,"Sun 28 Dec 2014, 15:00 GMT",Queens Park Rangers,QPR,17,Crystal Palace,CRY,6,0,0,0,0,D,Loftus Road,London,46,18011,Mike Jones,10020
2014/15,Premier League,20,"Thu 1 Jan 2015, 15:00 GMT",Queens Park Rangers,QPR,17,Swansea City,SWA,45,1,1,1,0,D,Loftus Road,London,46,17729,Anthony Taylor,10144
2014/15,Premier League,22,"Sat 17 Jan 2015, 15:00 GMT",Queens Park Rangers,QPR,17,Manchester United,MUN,12,0,2,0,0,A,Loftus Road,London,46,18098,Neil Swarbrick,9948
2014/15,Premier League,24,"Sat 7 Feb 2015, 15:00 GMT",Queens Park Rangers,QPR,17,Southampton,SOU,20,0,1,0,0,A,Loftus Road,London,46,18082,Roger East,11076
2014/15,Premier League,28,"Wed 4 Mar 2015, 19:45 GMT",Queens Park Rangers,QPR,17,Arsenal,ARS,1,1,2,0,0,A,Loftus Road,London,46,17977,Kevin Friend,10976
2014/15,Premier League,28,"Sat 7 Mar 2015, 15:00 GMT",Queens Park Rangers,QPR,17,Tottenham Hotspur,TOT,21,1,2,0,1,A,Loftus Road,London,46,17992,Craig Pawson,10840
2014/15,Premier League,30,"Sun 22 Mar 2015, 16:00 GMT",Queens Park Rangers,QPR,17,Everton,EVE,7,1,2,0,1,A,Loftus Road,London,46,17706,Jonathan Moss,11176
2014/15,Premier League,32,"Sun 12 Apr 2015, 13:30 BST",Queens Park Rangers,QPR,17,Chelsea,CHE,4,0,1,0,0,A,Loftus Road,London,46,17939,Andre Marriner,11192
2014/15,Premier League,34,"Sat 25 Apr 2015, 15:00 BST",Queens Park Rangers,QPR,17,West Ham United,WHU,25,0,0,0,0,D,Loftus Road,London,46,18036,Mike Jones,10676
2014/15,Premier League,37,"Sat 16 May 2015, 15:00 BST",Queens Park Rangers,QPR,17,Newcastle United,NEW,23,2,1,0,1,H,Loftus Road,London,46,17608,Lee Probert,10728
