Season,Competition,GameWeek,Kick Off Time,Home Team Name,Home Team Abbr,Home Team ID,Away Team Name,Away Team Abbr,Away Team Id,Home Score,Away Score,HT Home Score,HT Away Team,Outcome,Stadium,Location,Stadium Id,Attendance,Referee,Referee Id
2005/06,Premier League,1,"Sun 14 Aug 2005, 16:00 BST",Wigan Athletic,WIG,39,Chelsea,CHE,4,0,1,0,0,A,DW Stadium,Wigan,2,23909,Mark Clattenburg,5475
2005/06,Premier League,4,"Sat 27 Aug 2005, 15:00 BST",Wigan Athletic,WIG,39,Sunderland,SUN,29,1,0,1,0,H,DW Stadium,Wigan,2,17522,Steve Bennett,5490
2005/06,Premier League,6,"Sun 18 Sep 2005, 15:00 BST",Wigan Athletic,WIG,39,Middlesbrough,MID,13,1,1,0,1,D,DW Stadium,Wigan,2,17105,Uriah Rennie,5510
2005/06,Premier League,8,"Sun 2 Oct 2005, 13:00 BST",Wigan Athletic,WIG,39,Bolton Wanderers,BOL,27,2,1,0,0,H,DW Stadium,Wigan,2,20958,Alan Wiley,5532
2005/06,Premier League,9,"Sat 15 Oct 2005, 12:45 BST",Wigan Athletic,WIG,39,Newcastle United,NEW,23,1,0,1,0,H,DW Stadium,Wigan,2,22730,Phil Dowd,5563
2005/06,Premier League,11,"Sat 29 Oct 2005, 12:45 BST",Wigan Athletic,WIG,39,Fulham,FUL,34,1,0,0,0,H,DW Stadium,Wigan,2,17566,Andre Marriner,5389
2005/06,Premier League,13,"Sat 19 Nov 2005, 12:45 GMT",Wigan Athletic,WIG,39,Arsenal,ARS,1,2,3,2,3,A,DW Stadium,Wigan,2,25004,Graham Poll,5405
2005/06,Premier League,14,"Sat 26 Nov 2005, 15:00 GMT",Wigan Athletic,WIG,39,Tottenham Hotspur,TOT,21,1,2,0,1,A,DW Stadium,Wigan,2,22869,Mike Riley,5400
2005/06,Premier League,17,"Sat 17 Dec 2005, 15:00 GMT",Wigan Athletic,WIG,39,Charlton Athletic,CHA,31,3,0,1,0,H,DW Stadium,Wigan,2,17426,Martin Atkinson,5445
2005/06,Premier League,18,"Mon 26 Dec 2005, 15:00 GMT",Wigan Athletic,WIG,39,Manchester City,MCI,11,4,3,3,1,H,DW Stadium,Wigan,2,25083,Dermot Gallagher,5466
