Season,Competition,GameWeek,Kick Off Time,Home Team Name,Home Team Abbr,Home Team ID,Away Team Name,Away Team Abbr,Away Team Id,Home Score,Away Score,HT Home Score,HT Away Team,Outcome,Stadium,Location,Stadium Id,Attendance,Referee,Referee Id
2006/07,Premier League,1,"Sat 19 Aug 2006, 12:45 BST",Sheff Utd,SHU,18,Liverpool,LIV,10,1,1,0,0,D,Bramall Lane,Sheffield,206,31726,Rob Styles,5762
2006/07,Premier League,4,"Sat 9 Sep 2006, 15:00 BST",Sheff Utd,SHU,18,Blackburn Rovers,BLB,3,0,0,0,0,D,Bramall Lane,Sheffield,206,29876,Mike Dean,5790
2006/07,Premier League,5,"Sat 16 Sep 2006, 15:00 BST",Sheff Utd,SHU,18,Reading,RDG,40,1,2,0,2,A,Bramall Lane,Sheffield,206,28288,Andre Marriner,5759
2006/07,Premier League,7,"Sat 30 Sep 2006, 17:15 BST",Sheff Utd,SHU,18,Middlesbrough,MID,13,2,1,1,0,H,Bramall Lane,Sheffield,206,27483,Peter Walton,5722
2006/07,Premier League,12,"Sat 11 Nov 2006, 15:00 GMT",Sheff Utd,SHU,18,Bolton Wanderers,BOL,27,2,2,0,1,D,Bramall Lane,Sheffield,206,28294,Alan Wiley,5665
2006/07,Premier League,13,"Sat 18 Nov 2006, 15:00 GMT",Sheff Utd,SHU,18,Manchester United,MUN,12,1,2,1,1,A,Bramall Lane,Sheffield,206,32584,Mark Clattenburg,5655
2006/07,Premier League,16,"Sat 2 Dec 2006, 15:00 GMT",Sheff Utd,SHU,18,Charlton Athletic,CHA,31,2,1,0,1,H,Bramall Lane,Sheffield,206,27368,Phil Dowd,5667
2006/07,Premier League,17,"Mon 11 Dec 2006, 20:00 GMT",Sheff Utd,SHU,18,Aston Villa,AVL,2,2,2,0,1,D,Bramall Lane,Sheffield,206,30957,Mark Halsey,5628
2006/07,Premier League,21,"Sat 30 Dec 2006, 17:15 GMT",Sheff Utd,SHU,18,Arsenal,ARS,1,1,0,1,0,H,Bramall Lane,Sheffield,206,32086,Lee Mason,5913
2006/07,Premier League,23,"Sat 13 Jan 2007, 15:00 GMT",Sheff Utd,SHU,18,Portsmouth,POR,37,1,1,1,0,D,Bramall Lane,Sheffield,206,30269,Lee Probert,5835
2006/07,Premier League,25,"Tue 30 Jan 2007, 19:45 GMT",Sheff Utd,SHU,18,Fulham,FUL,34,2,0,2,0,H,Bramall Lane,Sheffield,206,27540,Lee Mason,5801
2006/07,Premier League,27,"Sat 10 Feb 2007, 15:00 GMT",Sheff Utd,SHU,18,Tottenham Hotspur,TOT,21,2,1,1,1,H,Bramall Lane,Sheffield,206,32144,Martin Atkinson,5891
2006/07,Premier League,29,"Sat 3 Mar 2007, 15:00 GMT",Sheff Utd,SHU,18,Everton,EVE,7,1,1,0,0,D,Bramall Lane,Sheffield,206,32019,Mike Riley,5868
2006/07,Premier League,32,"Sat 7 Apr 2007, 15:00 BST",Sheff Utd,SHU,18,Newcastle United,NEW,23,1,2,0,1,A,Bramall Lane,Sheffield,206,32572,Mark Halsey,5939
2006/07,Premier League,34,"Sat 14 Apr 2007, 15:00 BST",Sheff Utd,SHU,18,West Ham United,WHU,25,3,0,1,0,H,Bramall Lane,Sheffield,206,31593,Steve Bennett,5923
2006/07,Premier League,37,"Sat 28 Apr 2007, 15:00 BST",Sheff Utd,SHU,18,Watford,WAT,33,1,0,1,0,H,Bramall Lane,Sheffield,206,30613,Martin Atkinson,5573
2006/07,Premier League,39,"Sun 13 May 2007, 15:00 BST",Sheff Utd,SHU,18,Wigan Athletic,WIG,39,1,2,1,2,A,Bramall Lane,Sheffield,206,32604,Mike Dean,5587
2006/07,Premier League,10,"Sat 28 Oct 2006, 12:45 BST",Sheffield United,SHU,18,Chelsea,CHE,4,0,2,0,1,A,Bramall Lane,Sheffield,206,32321,Martin Atkinson,5729
2006/07,Premier League,20,"Tue 26 Dec 2006, 15:00 GMT",Sheffield United,SHU,18,Manchester City,MCI,11,0,1,0,0,A,Bramall Lane,Sheffield,206,32591,Mark Clattenburg,5815
