Season,Competition,GameWeek,Kick Off Time,Home Team Name,Home Team Abbr,Home Team ID,Away Team Name,Away Team Abbr,Away Team Id,Home Score,Away Score,HT Home Score,HT Away Team,Outcome,Stadium,Location,Stadium Id,Attendance,Referee,Referee Id
2006/07,Premier League,1,"Sat 19 Aug 2006, 15:00 BST",Reading,RDG,40,Middlesbrough,MID,13,3,2,2,2,H,Madejski Stadium,Reading,24,23802,Mark Halsey,5763
2006/07,Premier League,4,"Mon 11 Sep 2006, 20:00 BST",Reading,RDG,40,Manchester City,MCI,11,1,0,1,0,H,Madejski Stadium,Reading,24,23924,Howard Webb,5792
2006/07,Premier League,6,"Sat 23 Sep 2006, 17:15 BST",Reading,RDG,40,Manchester United,MUN,12,1,1,0,0,D,Madejski Stadium,Reading,24,24152,Peter Walton,5701
2006/07,Premier League,8,"Sat 14 Oct 2006, 17:15 BST",Reading,RDG,40,Chelsea,CHE,4,0,1,0,1,A,Madejski Stadium,Reading,24,24026,Mike Riley,5750
2006/07,Premier League,9,"Sun 22 Oct 2006, 16:00 BST",Reading,RDG,40,Arsenal,ARS,1,0,4,0,2,A,Madejski Stadium,Reading,24,24004,Alan Wiley,5705
2006/07,Premier League,12,"Sun 12 Nov 2006, 13:30 GMT",Reading,RDG,40,Tottenham Hotspur,TOT,21,3,1,2,1,H,Madejski Stadium,Reading,24,24042,Rob Styles,5669
2006/07,Premier League,13,"Sat 18 Nov 2006, 15:00 GMT",Reading,RDG,40,Charlton Athletic,CHA,31,2,0,1,0,H,Madejski Stadium,Reading,24,24093,Graham Poll,5657
2006/07,Premier League,16,"Sat 2 Dec 2006, 15:00 GMT",Reading,RDG,40,Bolton Wanderers,BOL,27,1,0,1,0,H,Madejski Stadium,Reading,24,23556,Alan Wiley,5666
2006/07,Premier League,18,"Sat 16 Dec 2006, 15:00 GMT",Reading,RDG,40,Blackburn Rovers,BLB,3,1,2,1,0,A,Madejski Stadium,Reading,24,23074,Graham Poll,5638
2006/07,Premier League,19,"Sat 23 Dec 2006, 15:00 GMT",Reading,RDG,40,Everton,EVE,7,0,2,0,1,A,Madejski Stadium,Reading,24,23120,Steve Tanner,5832
2006/07,Premier League,22,"Mon 1 Jan 2007, 15:00 GMT",Reading,RDG,40,West Ham United,WHU,25,6,0,4,0,H,Madejski Stadium,Reading,24,23992,Lee Mason,5631
2006/07,Premier League,24,"Sat 20 Jan 2007, 15:00 GMT",Reading,RDG,40,Sheff Utd,SHU,18,3,1,1,0,H,Madejski Stadium,Reading,24,23956,Mark Halsey,5814
2006/07,Premier League,25,"Tue 30 Jan 2007, 20:00 GMT",Reading,RDG,40,Wigan Athletic,WIG,39,3,2,1,1,H,Madejski Stadium,Reading,24,21954,Steve Bennett,5803
2006/07,Premier League,27,"Sat 10 Feb 2007, 12:45 GMT",Reading,RDG,40,Aston Villa,AVL,2,2,0,1,0,H,Madejski Stadium,Reading,24,24122,Mark Clattenburg,5894
2006/07,Premier League,30,"Sat 17 Mar 2007, 15:00 GMT",Reading,RDG,40,Portsmouth,POR,37,0,0,0,0,D,Madejski Stadium,Reading,24,24087,Steve Bennett,5857
2006/07,Premier League,32,"Sat 7 Apr 2007, 15:00 BST",Reading,RDG,40,Liverpool,LIV,10,1,2,0,1,A,Madejski Stadium,Reading,24,24121,Peter Walton,5938
2006/07,Premier League,34,"Sat 14 Apr 2007, 15:00 BST",Reading,RDG,40,Fulham,FUL,34,1,0,1,0,H,Madejski Stadium,Reading,24,24082,Lee Mason,5922
2006/07,Premier League,37,"Mon 30 Apr 2007, 20:00 BST",Reading,RDG,40,Newcastle United,NEW,23,1,0,0,0,H,Madejski Stadium,Reading,24,24109,Mike Riley,5572
2006/07,Premier League,38,"Sat 5 May 2007, 15:00 BST",Reading,RDG,40,Watford,WAT,33,0,2,0,0,A,Madejski Stadium,Reading,24,23294,Dermot Gallagher,5598
